Time(ms),ADC,Voltage(V)
0.000,669,0.719
16.000,670,0.720
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,670,0.720
16.000,669,0.719
16.000,670,0.720
16.000,669,0.719
32.000,670,0.720
32.000,669,0.719
32.000,670,0.720
47.000,670,0.720
47.000,669,0.719
47.000,669,0.719
63.000,669,0.719
63.000,670,0.720
63.000,670,0.720
78.000,670,0.720
78.000,669,0.719
78.000,669,0.719
94.000,670,0.720
94.000,670,0.720
94.000,670,0.720
110.000,670,0.720
125.000,669,0.719
125.000,670,0.720
125.000,670,0.720
125.000,669,0.719
125.000,670,0.720
141.000,670,0.720
141.000,670,0.720
141.000,670,0.720
157.000,669,0.719
157.000,670,0.720
157.000,670,0.720
157.000,670,0.720
172.000,670,0.720
172.000,670,0.720
172.000,669,0.719
188.000,670,0.720
188.000,670,0.720
188.000,670,0.720
203.000,670,0.720
203.000,670,0.720
203.000,670,0.720
235.000,670,0.720
235.000,670,0.720
235.000,670,0.720
235.000,670,0.720
235.000,670,0.720
235.000,670,0.720
250.000,670,0.720
250.000,670,0.720
250.000,670,0.720
266.000,670,0.720
266.000,670,0.720
266.000,670,0.720
282.000,670,0.720
282.000,670,0.720
282.000,670,0.720
297.000,670,0.720
297.000,670,0.720
297.000,670,0.720
297.000,670,0.720
313.000,670,0.720
313.000,670,0.720
313.000,670,0.720
344.000,670,0.720
344.000,670,0.720
344.000,670,0.720
344.000,670,0.720
344.000,672,0.723
344.000,670,0.720
360.000,671,0.722
360.000,670,0.720
360.000,670,0.720
375.000,670,0.720
375.000,671,0.722
375.000,670,0.720
391.000,670,0.720
391.000,670,0.720
391.000,670,0.720
407.000,670,0.720
407.000,670,0.720
407.000,670,0.720
422.000,670,0.720
422.000,670,0.720
422.000,670,0.720
438.000,671,0.722
438.000,670,0.720
438.000,671,0.722
453.000,671,0.722
453.000,671,0.722
469.000,671,0.722
469.000,671,0.722
469.000,670,0.720
469.000,670,0.720
469.000,670,0.720
485.000,671,0.722
485.000,670,0.720
485.000,671,0.722
500.000,671,0.722
500.000,670,0.720
500.000,670,0.720
516.000,670,0.720
516.000,671,0.722
516.000,671,0.722
532.000,670,0.720
532.000,671,0.722
532.000,671,0.722
547.000,671,0.722
547.000,671,0.722
