Time(ms),ADC,Voltage(V)
16.000,664,0.714
32.000,664,0.714
47.000,664,0.714
79.000,664,0.714
79.000,664,0.714
79.000,664,0.714
79.000,664,0.714
79.000,664,0.714
79.000,664,0.714
79.000,664,0.714
79.000,664,0.714
79.000,664,0.714
79.000,664,0.714
79.000,665,0.715
79.000,664,0.714
79.000,665,0.715
79.000,664,0.714
79.000,665,0.715
79.000,664,0.714
79.000,664,0.714
79.000,664,0.714
79.000,665,0.715
79.000,664,0.714
79.000,665,0.715
94.000,664,0.714
94.000,664,0.714
94.000,664,0.714
110.000,665,0.715
110.000,664,0.714
110.000,664,0.714
110.000,664,0.714
125.000,664,0.714
125.000,665,0.715
141.000,664,0.714
141.000,665,0.715
141.000,665,0.715
141.000,664,0.714
172.000,665,0.715
172.000,665,0.715
172.000,665,0.715
172.000,665,0.715
172.000,664,0.714
188.000,665,0.715
188.000,665,0.715
188.000,665,0.715
188.000,664,0.714
204.000,664,0.714
204.000,665,0.715
204.000,665,0.715
219.000,664,0.714
219.000,664,0.714
219.000,664,0.714
235.000,664,0.714
235.000,665,0.715
235.000,664,0.714
250.000,665,0.715
266.000,665,0.715
266.000,665,0.715
266.000,665,0.715
266.000,664,0.714
282.000,665,0.715
282.000,665,0.715
282.000,665,0.715
282.000,664,0.714
297.000,665,0.715
297.000,665,0.715
297.000,665,0.715
297.000,665,0.715
313.000,665,0.715
313.000,665,0.715
313.000,665,0.715
329.000,665,0.715
329.000,665,0.715
329.000,665,0.715
344.000,665,0.715
344.000,665,0.715
344.000,665,0.715
360.000,665,0.715
360.000,665,0.715
375.000,665,0.715
375.000,665,0.715
375.000,665,0.715
375.000,665,0.715
407.000,665,0.715
407.000,665,0.715
407.000,666,0.716
407.000,665,0.715
422.000,665,0.715
422.000,665,0.715
422.000,665,0.715
422.000,665,0.715
422.000,665,0.715
438.000,665,0.715
438.000,665,0.715
438.000,665,0.715
454.000,665,0.715
454.000,665,0.715
454.000,666,0.716
454.000,665,0.715
469.000,665,0.715
469.000,665,0.715
469.000,665,0.715
485.000,666,0.716
500.000,666,0.716
500.000,666,0.716
500.000,667,0.717
500.000,667,0.717
500.000,666,0.716
532.000,667,0.717
532.000,666,0.716
532.000,666,0.716
532.000,667,0.717
547.000,667,0.717
563.000,667,0.717
563.000,668,0.718
563.000,668,0.718
563.000,667,0.717
563.000,668,0.718
563.000,668,0.718
563.000,668,0.718
579.000,668,0.718
579.000,667,0.717
579.000,668,0.718
579.000,667,0.717
594.000,668,0.718
594.000,667,0.717
594.000,668,0.718
610.000,667,0.717
625.000,668,0.718
625.000,668,0.718
625.000,668,0.718
625.000,668,0.718
625.000,668,0.718
672.000,668,0.718
672.000,668,0.718
672.000,667,0.717
672.000,668,0.718
672.000,668,0.718
672.000,668,0.718
672.000,668,0.718
672.000,668,0.718
672.000,668,0.718
688.000,668,0.718
688.000,668,0.718
688.000,668,0.718
704.000,668,0.718
704.000,668,0.718
704.000,668,0.718
719.000,668,0.718
719.000,668,0.718
719.000,668,0.718
735.000,668,0.718
750.000,668,0.718
750.000,668,0.718
750.000,668,0.718
750.000,668,0.718
766.000,668,0.718
766.000,668,0.718
766.000,668,0.718
766.000,668,0.718
782.000,668,0.718
782.000,668,0.718
782.000,668,0.718
782.000,669,0.719
797.000,668,0.718
797.000,669,0.719
797.000,668,0.718
813.000,668,0.718
813.000,668,0.718
813.000,668,0.718
829.000,668,0.718
829.000,668,0.718
829.000,668,0.718
844.000,668,0.718
844.000,668,0.718
844.000,668,0.718
860.000,668,0.718
860.000,669,0.719
891.000,669,0.719
891.000,668,0.718
891.000,668,0.718
891.000,668,0.718
907.000,669,0.719
907.000,669,0.719
907.000,668,0.718
907.000,668,0.718
922.000,669,0.719
922.000,668,0.718
922.000,668,0.718
922.000,669,0.719
922.000,669,0.719
922.000,668,0.718
938.000,669,0.719
938.000,668,0.718
938.000,668,0.718
954.000,669,0.719
954.000,669,0.719
954.000,669,0.719
969.000,669,0.719
969.000,669,0.719
969.000,669,0.719
985.000,669,0.719
1000.000,669,0.719
1032.000,669,0.719
1032.000,669,0.719
1032.000,668,0.718
1032.000,668,0.718
1032.000,669,0.719
1032.000,669,0.719
1032.000,669,0.719
1032.000,669,0.719
1047.000,669,0.719
1047.000,669,0.719
1047.000,669,0.719
1047.000,669,0.719
1047.000,669,0.719
1047.000,668,0.718
1063.000,669,0.719
1063.000,669,0.719
1063.000,669,0.719
1079.000,669,0.719
1079.000,669,0.719
1079.000,669,0.719
1094.000,669,0.719
1094.000,669,0.719
1094.000,669,0.719
1125.000,669,0.719
1125.000,669,0.719
1125.000,669,0.719
1125.000,669,0.719
1125.000,669,0.719
1125.000,669,0.719
1157.000,669,0.719
1157.000,669,0.719
1157.000,670,0.720
1157.000,669,0.719
1157.000,669,0.719
1188.000,669,0.719
1188.000,669,0.719
1188.000,669,0.719
1188.000,669,0.719
1188.000,669,0.719
1188.000,669,0.719
1188.000,669,0.719
1204.000,669,0.719
1204.000,669,0.719
1204.000,669,0.719
1219.000,669,0.719
1219.000,669,0.719
1219.000,669,0.719
1250.000,669,0.719
1250.000,669,0.719
1250.000,669,0.719
1250.000,669,0.719
1266.000,669,0.719
1266.000,669,0.719
1266.000,669,0.719
1266.000,669,0.719
1266.000,669,0.719
1266.000,669,0.719
1282.000,669,0.719
1282.000,670,0.720
1282.000,670,0.720
1297.000,670,0.720
1313.000,669,0.719
1313.000,669,0.719
1313.000,670,0.720
1313.000,670,0.720
1313.000,670,0.720
1329.000,669,0.719
1329.000,670,0.720
1329.000,669,0.719
1344.000,669,0.719
1344.000,669,0.719
1344.000,670,0.720
1344.000,670,0.720
1391.000,670,0.720
1391.000,669,0.719
1391.000,670,0.720
1391.000,670,0.720
1391.000,670,0.720
1391.000,670,0.720
